 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,Median,%Area,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr
64,Goldenapple,2839,255,0,255,255,255,51.583,52.010,51.583,52.010,400,0,99,100,100,63.614,56.823,89.899,0.223,141.421,255,28.390,1,0,0,135,100,1.119,0.893,1.000,255,255
65,Goldenapple,2844,255,0,255,255,255,52.618,52.036,52.618,52.036,400,0,99,100,100,63.684,56.860,91.734,0.223,141.421,255,28.440,1,0,0,135,100,1.120,0.893,1.000,255,255
66,Goldenapple,2923,255,0,255,255,255,52.239,52.424,52.239,52.424,400,0,99,100,100,64.387,57.801,91.501,0.230,141.421,255,29.230,1,0,0,135,100,1.114,0.898,1.000,255,255
67,Goldenapple,2898,255,0,255,255,255,52.111,52.469,52.111,52.469,400,0,99,100,100,64.397,57.298,91.761,0.228,141.421,255,28.980,1,0,0,135,100,1.124,0.890,1.000,255,255
68,Goldenapple,2820,255,0,255,255,255,52.487,52.602,52.487,52.602,400,0,99,100,100,63.611,56.445,92.463,0.221,141.421,255,28.200,1,0,0,135,100,1.127,0.887,1.000,255,255
69,Goldenapple,2906,255,0,255,255,255,51.950,52.192,51.950,52.192,400,0,99,100,100,64.508,57.358,91.733,0.228,141.421,255,29.060,1,0,0,135,100,1.125,0.889,1.000,255,255
70,Goldenapple,2893,255,0,255,255,255,51.796,52.111,51.796,52.111,400,0,99,100,100,64.434,57.167,92.135,0.227,141.421,255,28.930,1,0,0,135,100,1.127,0.887,1.000,255,255
71,Goldenapple,3028,255,0,255,255,255,51.452,51.801,51.452,51.801,400,0,99,100,100,65.628,58.746,92.220,0.238,141.421,255,30.280,1,0,0,135,100,1.117,0.895,1.000,255,255
72,Goldenapple,2889,255,0,255,255,255,52.185,50.103,52.185,50.103,400,0,99,100,100,64.488,57.040,92.421,0.227,141.421,255,28.890,1,0,0,135,100,1.131,0.885,1.000,255,255
73,Goldenapple,3056,255,0,255,255,255,50.929,49.538,50.929,49.538,400,0,99,100,100,65.866,59.075,91.370,0.240,141.421,255,30.560,1,0,0,135,100,1.115,0.897,1.000,255,255
74,Goldenapple,3024,255,0,255,255,255,51.753,49.988,51.753,49.988,400,0,99,100,100,65.686,58.617,92.200,0.238,141.421,255,30.240,1,0,0,135,100,1.121,0.892,1.000,255,255
75,Goldenapple,3097,255,0,255,255,255,50.996,49.798,50.996,49.798,400,0,99,100,100,66.433,59.357,92.086,0.243,141.421,255,30.970,1,0,0,135,100,1.119,0.893,1.000,255,255
76,Goldenapple,3128,255,0,255,255,255,51.496,49.660,51.496,49.660,400,0,99,100,100,66.676,59.732,92.479,0.246,141.421,255,31.280,1,0,0,135,100,1.116,0.896,1.000,255,255
77,Goldenapple,3019,255,0,255,255,255,51.494,49.911,51.494,49.911,400,0,99,100,100,65.639,58.561,92.797,0.237,141.421,255,30.190,1,0,0,135,100,1.121,0.892,1.000,255,255
78,Goldenapple,3109,255,0,255,255,255,50.540,49.900,50.540,49.900,400,0,99,100,100,66.336,59.674,92.653,0.244,141.421,255,31.090,1,0,0,135,100,1.112,0.900,1.000,255,255
79,Goldenapple,3133,255,0,255,255,255,52.024,49.407,52.024,49.407,400,0,99,100,100,66.640,59.860,93.455,0.246,141.421,255,31.330,1,0,0,135,100,1.113,0.898,1.000,255,255
80,Goldenapple,3026,255,0,255,255,255,51.178,49.724,51.178,49.724,400,0,99,100,100,65.514,58.809,94.339,0.238,141.421,255,30.260,1,0,0,135,100,1.114,0.898,1.000,255,255
81,Goldenapple,2880,255,0,255,255,255,51.916,49.971,51.916,49.971,400,0,99,100,100,64.319,57.012,94.945,0.226,141.421,255,28.800,1,0,0,135,100,1.128,0.886,1.000,255,255
82,Goldenapple,2881,255,0,255,255,255,51.795,49.847,51.795,49.847,400,0,99,100,100,64.306,57.043,95.545,0.226,141.421,255,28.810,1,0,0,135,100,1.127,0.887,1.000,255,255
83,Goldenapple,2995,255,0,255,255,255,50.789,49.235,50.789,49.235,400,0,99,100,100,65.152,58.530,95.631,0.235,141.421,255,29.950,1,0,0,135,100,1.113,0.898,1.000,255,255
84,Goldenapple,2866,255,0,255,255,255,52.129,49.194,52.129,49.194,400,0,99,100,100,63.868,57.135,96.930,0.225,141.421,255,28.660,1,0,0,135,100,1.118,0.895,1.000,255,255
85,Goldenapple,2877,255,0,255,255,255,52.160,49.204,52.160,49.204,400,0,99,100,100,63.952,57.279,95.961,0.226,141.421,255,28.770,1,0,0,135,100,1.117,0.896,1.000,255,255
86,Goldenapple,2969,255,0,255,255,255,51.572,49.510,51.572,49.510,400,0,99,100,100,64.812,58.327,97.446,0.233,141.421,255,29.690,1,0,0,135,100,1.111,0.900,1.000,255,255
87,Goldenapple,3049,255,0,255,255,255,49.496,49.020,49.496,49.020,400,0,99,100,100,65.380,59.377,97.946,0.239,141.421,255,30.490,1,0,0,135,100,1.101,0.908,1.000,255,255
88,Goldenapple,2978,255,0,255,255,255,50.860,49.449,50.860,49.449,400,0,99,100,100,64.817,58.498,98.375,0.234,141.421,255,29.780,1,0,0,135,100,1.108,0.903,1.000,255,255
89,Goldenapple,3075,255,0,255,255,255,49.448,48.920,49.448,48.920,400,0,99,100,100,65.628,59.658,98.275,0.242,141.421,255,30.750,1,0,0,135,100,1.100,0.909,1.000,255,255
90,Goldenapple,2937,255,0,255,255,255,50.545,48.911,50.545,48.911,400,0,99,100,100,64.278,58.177,99.459,0.231,141.421,255,29.370,1,0,0,135,100,1.105,0.905,1.000,255,255
91,Goldenapple,2872,255,0,255,255,255,51.109,48.648,51.109,48.648,400,0,99,100,100,63.686,57.418,99.075,0.226,141.421,255,28.720,1,0,0,135,100,1.109,0.902,1.000,255,255
92,Goldenapple,2781,255,0,255,255,255,52.027,48.857,52.027,48.857,400,0,99,100,100,62.785,56.397,100.678,0.218,141.421,255,27.810,1,0,0,135,100,1.113,0.898,1.000,255,255
93,Goldenapple,2806,255,0,255,255,255,51.913,48.771,51.913,48.771,400,0,99,100,100,62.965,56.741,101.030,0.220,141.421,255,28.060,1,0,0,135,100,1.110,0.901,1.000,255,255
94,Goldenapple,2786,255,0,255,255,255,52.690,49.217,52.690,49.217,400,0,99,100,100,62.705,56.570,101.825,0.219,141.421,255,27.860,1,0,0,135,100,1.108,0.902,1.000,255,255
95,Goldenapple,2829,255,0,255,255,255,52.764,48.799,52.764,48.799,400,0,99,100,100,63.124,57.062,101.635,0.222,141.421,255,28.290,1,0,0,135,100,1.106,0.904,1.000,255,255
96,Goldenapple,2826,255,0,255,255,255,52.605,48.722,52.605,48.722,400,0,99,100,100,63.104,57.020,100.041,0.222,141.421,255,28.260,1,0,0,135,100,1.107,0.904,1.000,255,255
97,Goldenapple,2774,255,0,255,255,255,52.888,49.284,52.888,49.284,400,0,99,100,100,62.578,56.441,100.922,0.218,141.421,255,27.740,1,0,0,135,100,1.109,0.902,1.000,255,255
98,Goldenapple,2760,255,0,255,255,255,52.866,49.012,52.866,49.012,400,0,99,100,100,62.335,56.375,100.179,0.217,141.421,255,27.600,1,0,0,135,100,1.106,0.904,1.000,255,255
99,Goldenapple,2758,255,0,255,255,255,52.562,49.189,52.562,49.189,400,0,99,100,100,62.292,56.373,100.154,0.217,141.421,255,27.580,1,0,0,135,100,1.105,0.905,1.000,255,255
100,Goldenapple,2726,255,0,255,255,255,52.535,49.400,52.535,49.400,400,0,99,100,100,62.038,55.947,99.231,0.214,141.421,255,27.260,1,0,0,135,100,1.109,0.902,1.000,255,255
101,Goldenapple,2680,255,0,255,255,255,52.841,48.921,52.841,48.921,400,0,99,100,100,61.492,55.492,97.973,0.210,141.421,255,26.800,1,0,0,135,100,1.108,0.902,1.000,255,255
102,Goldenapple,2731,255,0,255,255,255,52.585,49.262,52.585,49.262,400,0,99,100,100,61.992,56.091,98.575,0.214,141.421,255,27.310,1,0,0,135,100,1.105,0.905,1.000,255,255
103,Goldenapple,2751,255,0,255,255,255,52.524,49.444,52.524,49.444,400,0,99,100,100,62.031,56.466,98.437,0.216,141.421,255,27.510,1,0,0,135,100,1.099,0.910,1.000,255,255
104,Goldenapple,2782,255,0,255,255,255,52.821,49.463,52.821,49.463,400,0,99,100,100,62.205,56.944,97.725,0.218,141.421,255,27.820,1,0,0,135,100,1.092,0.915,1.000,255,255
105,Goldenapple,2885,255,0,255,255,255,53.248,49.110,53.248,49.110,400,0,99,100,100,63.586,57.769,96.344,0.227,141.421,255,28.850,1,0,0,135,100,1.101,0.909,1.000,255,255
106,Goldenapple,2907,255,0,255,255,255,53.680,49.148,53.680,49.148,400,0,99,100,100,63.684,58.120,96.272,0.228,141.421,255,29.070,1,0,0,135,100,1.096,0.913,1.000,255,255
107,Goldenapple,2865,255,0,255,255,255,52.786,49.405,52.786,49.405,400,0,99,100,100,63.176,57.741,95.769,0.225,141.421,255,28.650,1,0,0,135,100,1.094,0.914,1.000,255,255
108,Goldenapple,2818,255,0,255,255,255,52.196,49.071,52.196,49.071,400,0,99,100,100,62.604,57.313,95.014,0.221,141.421,255,28.180,1,0,0,135,100,1.092,0.915,1.000,255,255
109,Goldenapple,2882,255,0,255,255,255,52.390,48.812,52.390,48.812,400,0,99,100,100,63.338,57.934,95.400,0.226,141.421,255,28.820,1,0,0,135,100,1.093,0.915,1.000,255,255
110,Goldenapple,2871,255,0,255,255,255,52.440,49.069,52.440,49.069,400,0,99,100,100,63.229,57.813,94.537,0.225,141.421,255,28.710,1,0,0,135,100,1.094,0.914,1.000,255,255
111,Goldenapple,2843,255,0,255,255,255,53.498,49.374,53.498,49.374,400,0,99,100,100,63.010,57.449,93.918,0.223,141.421,255,28.430,1,0,0,135,100,1.097,0.912,1.000,255,255
112,Goldenapple,2919,255,0,255,255,255,52.759,48.927,52.759,48.927,400,0,99,100,100,63.805,58.249,93.691,0.229,141.421,255,29.190,1,0,0,135,100,1.095,0.913,1.000,255,255
113,Goldenapple,2865,255,0,255,255,255,52.095,49.018,52.095,49.018,400,0,99,100,100,63.232,57.690,92.750,0.225,141.421,255,28.650,1,0,0,135,100,1.096,0.912,1.000,255,255
114,Goldenapple,2912,255,0,255,255,255,52.563,48.849,52.563,48.849,400,0,99,100,100,63.757,58.153,91.726,0.229,141.421,255,29.120,1,0,0,135,100,1.096,0.912,1.000,255,255
115,Goldenapple,2770,255,0,255,255,255,53.277,49.096,53.277,49.096,400,0,99,100,100,62.308,56.604,92.849,0.218,141.421,255,27.700,1,0,0,135,100,1.101,0.908,1.000,255,255
116,Goldenapple,2819,255,0,255,255,255,53.642,48.933,53.642,48.933,400,0,99,100,100,63.000,56.972,90.844,0.221,141.421,255,28.190,1,0,0,135,100,1.106,0.904,1.000,255,255
117,Goldenapple,2835,255,0,255,255,255,52.580,49.222,52.580,49.222,400,0,99,100,100,63.108,57.198,91.396,0.223,141.421,255,28.350,1,0,0,135,100,1.103,0.906,1.000,255,255
118,Goldenapple,2800,255,0,255,255,255,53.498,49.055,53.498,49.055,400,0,99,100,100,62.857,56.717,90.556,0.220,141.421,255,28.000,1,0,0,135,100,1.108,0.902,1.000,255,255
119,Goldenapple,2786,255,0,255,255,255,53.580,49.056,53.580,49.056,400,0,99,100,100,62.718,56.558,90.637,0.219,141.421,255,27.860,1,0,0,135,100,1.109,0.902,1.000,255,255
120,Goldenapple,2845,255,0,255,255,255,52.672,49.092,52.672,49.092,400,0,99,100,100,63.311,57.215,91.724,0.223,141.421,255,28.450,1,0,0,135,100,1.107,0.904,1.000,255,255
121,Goldenapple,2827,255,0,255,255,255,52.864,49.107,52.864,49.107,400,0,99,100,100,63.299,56.864,91.162,0.222,141.421,255,28.270,1,0,0,135,100,1.113,0.898,1.000,255,255
122,Goldenapple,2867,255,0,255,255,255,53.150,49.550,53.150,49.550,400,0,99,100,100,63.799,57.216,91.740,0.225,141.421,255,28.670,1,0,0,135,100,1.115,0.897,1.000,255,255
123,Goldenapple,2831,255,0,255,255,255,53.511,49.551,53.511,49.551,400,0,99,100,100,63.589,56.685,91.868,0.222,141.421,255,28.310,1,0,0,135,100,1.122,0.891,1.000,255,255
124,Goldenapple,2828,255,0,255,255,255,53.721,49.597,53.721,49.597,400,0,99,100,100,63.630,56.588,91.302,0.222,141.421,255,28.280,1,0,0,135,100,1.124,0.889,1.000,255,255
125,Goldenapple,2871,255,0,255,255,255,53.268,49.589,53.268,49.589,400,0,99,100,100,63.906,57.201,91.495,0.225,141.421,255,28.710,1,0,0,135,100,1.117,0.895,1.000,255,255
126,Goldenapple,2839,255,0,255,255,255,53.490,49.811,53.490,49.811,400,0,99,100,100,63.725,56.724,91.959,0.223,141.421,255,28.390,1,0,0,135,100,1.123,0.890,1.000,255,255
127,Goldenapple,2973,255,0,255,255,255,52.261,49.664,52.261,49.664,400,0,99,100,100,64.944,58.286,90.893,0.233,141.421,255,29.730,1,0,0,135,100,1.114,0.897,1.000,255,255
128,Goldenapple,2926,255,0,255,255,255,53.497,49.618,53.497,49.618,400,0,99,100,100,64.703,57.579,91.680,0.230,141.421,255,29.260,1,0,0,135,100,1.124,0.890,1.000,255,255
129,Goldenapple,2863,255,0,255,255,255,53.433,49.759,53.433,49.759,400,0,99,100,100,64.116,56.855,90.886,0.225,141.421,255,28.630,1,0,0,135,100,1.128,0.887,1.000,255,255
130,Goldenapple,2871,255,0,255,255,255,52.687,49.524,52.687,49.524,400,0,99,100,100,64.173,56.963,90.764,0.225,141.421,255,28.710,1,0,0,135,100,1.127,0.888,1.000,255,255
131,Goldenapple,3095,255,0,255,255,255,51.040,49.680,51.040,49.680,400,0,99,100,100,66.222,59.507,90.018,0.243,141.421,255,30.950,1,0,0,135,100,1.113,0.899,1.000,255,255
132,Goldenapple,2935,255,0,255,255,255,52.582,49.523,52.582,49.523,400,0,99,100,100,64.821,57.650,90.054,0.231,141.421,255,29.350,1,0,0,135,100,1.124,0.889,1.000,255,255
133,Goldenapple,2925,255,0,255,255,255,52.851,49.565,52.851,49.565,400,0,99,100,100,64.867,57.413,90.199,0.230,141.421,255,29.250,1,0,0,135,100,1.130,0.885,1.000,255,255
134,Goldenapple,2922,255,0,255,255,255,53.018,49.541,53.018,49.541,400,0,99,100,100,64.826,57.391,89.940,0.229,141.421,255,29.220,1,0,0,135,100,1.130,0.885,1.000,255,255
135,Goldenapple,2985,255,0,255,255,255,52.486,49.691,52.486,49.691,400,0,99,100,100,65.412,58.103,89.832,0.234,141.421,255,29.850,1,0,0,135,100,1.126,0.888,1.000,255,255
136,Goldenapple,3052,255,0,255,255,255,52.207,49.775,52.207,49.775,400,0,99,100,100,66.004,58.875,89.730,0.240,141.421,255,30.520,1,0,0,135,100,1.121,0.892,1.000,255,255
137,Goldenapple,3014,255,0,255,255,255,51.937,49.996,51.937,49.996,400,0,99,100,100,65.769,58.349,90.389,0.237,141.421,255,30.140,1,0,0,135,100,1.127,0.887,1.000,255,255
